id,label,location,type,address,zip_code,city,place_count
lozere:2,CUMA Pendédis,"44.22481354548609,3.8752659939535237",Parking,Le Pendedis,48370,Saint-Michel-de-Dèze,
lozere:3,Le Temple,"44.36380900574597,3.7458199089310376",Parking,Route de Finiels,48220,Pont de Montvert,
lozere:4,Ecole,"44.372279933206364,3.533541707748745",Parking,Chemin du Rejal,48320,Ispagnac,
lozere:5,Fruitier des Cévennes,"44.219530739302165,3.8094094096759066",Parking,La Martinerie,48370,Saint-Germain-de-Calberte,
lozere:6,Sauveterre,"44.40892097931094,3.440590363053507",CarpoolArea,"Sauveterre, Sainte-Enimie",48210,Gorges du Tarn Causses,
lozere:7,L'Espinas,"44.310423222726264,3.880167364171108",CarpoolArea,34 D35,48160,Ventalon en Cévennes,
lozere:8,Plan de la Fougasse,"44.301304,3.878612",CarpoolArea,Saint-Frézal-de-Ventalon,48240,Ventalon en Cévennes,
lozere:9,Col de Banette,"44.311992,3.899747",CarpoolArea,Col de Banette,48160,Vialas,
lozere:10,Ecole,"44.240801681625065,3.5784191653729964",Parking,RD907,48400,Vébron,
lozere:11,Aux 2 routes,"44.1586573317629,3.8406219065185345",CarpoolArea,La farre,48330,Saint-Étienne-Vallée-Française,
lozere:12,La gravière,"44.36536122673367,3.4115454881535965",Parking,Rue de la Gravière,48210,Gorges du Tarn Causses,
lozere:13,La Parade,"44.24501271517031,3.3548710452229984",CarpoolArea,La parade,48150,Hures-la-Parade,
lozere:14,Aux 4 routes,"44.227659892237774,3.3713169997720183",CarpoolArea,croisement D63 et D986,48150,Hures-la-Parade,
lozere:15,Hures,"44.25192434358005,3.4268879531454677",CarpoolArea,Hures,48150,Hures-la-Parade,
